sheet 1,sheet 2
-0.46465,1.46425
-0.46157,1.45683
-0.45854,1.44963
-0.45562,1.44267
-0.45247,1.43582
-0.44936,1.42917
-0.44635,1.42274
-0.44329,1.41647
-0.44014,1.41034
-0.43709,1.40441
-0.43414,1.39865
-0.43108,1.39302
-0.42802,1.38754
-0.42505,1.38221
-0.42216,1.37704
-0.41927,1.37199
-0.4163,1.36706
-0.41341,1.36227
-0.4106,1.35759
-0.40786,1.35304
-0.40508,1.34859
-0.40228,1.34424
-0.39954,1.34
-0.39687,1.33586
-0.39425,1.33181
-0.39169,1.32784
-0.38903,1.32397
-0.38642,1.32018
-0.38386,1.31646
-0.38135,1.31282
-0.37889,1.30925
-0.37647,1.30574
-0.374,1.30231
-0.37154,1.29894
-0.36911,1.29563
-0.36673,1.29238
-0.36438,1.28918
-0.36207,1.28602
-0.35979,1.28291
-0.35746,1.27986
-0.35513,1.27686
-0.35284,1.27391
-0.35057,1.27099
-0.34833,1.2681
-0.34611,1.26525
-0.34391,1.26243
-0.34174,1.25964
-0.33951,1.2569
-0.33729,1.2542
-0.33508,1.25152
-0.3329,1.24887
-0.33073,1.24623
-0.32858,1.24362
-0.32644,1.24102
-0.32431,1.23844
-0.32216,1.23589
-0.31998,1.23338
-0.31781,1.23088
-0.31564,1.2284
-0.31349,1.22592
-0.31134,1.22345
-0.3092,1.22099
-0.30706,1.21853
-0.30492,1.21608
-0.30274,1.21366
-0.30054,1.21127
-0.29834,1.20888
-0.29614,1.20649
-0.29394,1.20409
-0.29173,1.20169
-0.28952,1.19929
-0.28731,1.19688
-0.28508,1.19447
-0.28281,1.19209
-0.28051,1.18973
-0.2782,1.18735
-0.27588,1.18497
-0.27354,1.18257
-0.2712,1.18015
-0.26883,1.17772
-0.26646,1.17528
-0.26405,1.17282
-0.26158,1.17042
-0.25909,1.16799
-0.25657,1.16555
-0.25404,1.16308
-0.25147,1.16059
-0.24888,1.15807
-0.24626,1.15552
-0.24361,1.15295
-0.24088,1.15044
-0.23811,1.1479
-0.23531,1.14533
-0.23247,1.14272
-0.22959,1.14007
-0.22666,1.13738
-0.22369,1.13465
-0.22064,1.13196
-0.21753,1.12927
-0.21436,1.12653
-0.21114,1.12374
-0.20786,1.1209
-0.20452,1.118
-0.2011,1.11508
-0.19759,1.11222
